05/12 17:08:43:372	touchX: 1016 touchY: 187
05/12 17:08:43:386	touchX: 1016 touchY: 187
05/12 17:08:43:392	touchX: 1014 touchY: 193
05/12 17:08:43:405	touchX: 1010 touchY: 205
05/12 17:08:43:412	touchX: 1006 touchY: 223
05/12 17:08:43:424	touchX: 1003 touchY: 245
05/12 17:08:43:432	touchX: 1001 touchY: 269
05/12 17:08:43:445	touchX: 1000 touchY: 295
05/12 17:08:43:451	touchX: 1001 touchY: 319
05/12 17:08:43:465	touchX: 1002 touchY: 341
05/12 17:08:43:473	touchX: 1005 touchY: 360
05/12 17:08:43:486	touchX: 1007 touchY: 376
05/12 17:08:43:525	touchX: 1007 touchY: 376
05/12 17:08:44:130	touchX: 1103 touchY: 217
05/12 17:08:44:145	touchX: 1092 touchY: 215
05/12 17:08:44:151	touchX: 1076 touchY: 211
05/12 17:08:44:165	touchX: 1057 touchY: 208
05/12 17:08:44:173	touchX: 1039 touchY: 205
05/12 17:08:44:186	touchX: 1022 touchY: 201
05/12 17:08:44:194	touchX: 1006 touchY: 199
05/12 17:08:44:206	touchX: 990 touchY: 196
05/12 17:08:44:222	touchX: 990 touchY: 196
05/12 17:09:00:283	touchX: 915 touchY: 223
05/12 17:09:00:287	touchX: 910 touchY: 222
05/12 17:09:00:300	touchX: 910 touchY: 222
05/12 17:09:00:306	touchX: 910 touchY: 222
05/12 17:09:00:319	touchX: 904 touchY: 218
05/12 17:09:00:327	touchX: 900 touchY: 215
05/12 17:09:00:340	touchX: 896 touchY: 213
05/12 17:09:00:345	touchX: 893 touchY: 211
05/12 17:09:00:360	touchX: 891 touchY: 209
05/12 17:09:00:368	touchX: 889 touchY: 207
05/12 17:09:00:381	touchX: 888 touchY: 205
05/12 17:09:00:388	touchX: 887 touchY: 205
05/12 17:09:00:402	touchX: 886 touchY: 203
05/12 17:09:00:406	touchX: 885 touchY: 203
05/12 17:09:00:420	touchX: 885 touchY: 201
05/12 17:09:00:440	touchX: 885 touchY: 200
05/12 17:09:00:447	touchX: 886 touchY: 199
05/12 17:09:00:460	touchX: 887 touchY: 197
05/12 17:09:00:467	touchX: 887 touchY: 195
05/12 17:09:00:480	touchX: 888 touchY: 193
05/12 17:09:00:486	touchX: 889 touchY: 189
05/12 17:09:00:500	touchX: 890 touchY: 184
05/12 17:09:00:507	touchX: 891 touchY: 177
05/12 17:09:00:519	touchX: 892 touchY: 169
05/12 17:09:00:527	touchX: 893 touchY: 159
05/12 17:09:00:540	touchX: 895 touchY: 147
05/12 17:09:00:547	touchX: 897 touchY: 134
05/12 17:09:00:560	touchX: 900 touchY: 121
05/12 17:09:00:567	touchX: 904 touchY: 105
05/12 17:09:00:581	touchX: 909 touchY: 88
05/12 17:09:00:588	touchX: 909 touchY: 88
